group_type,group_value,n,mean_residual,median_residual,p10,p90,size_weighted_mean
location,AZ,392,-744.0662468112245,-7978.19921875,-27243.8828125,33414.28125,-47.34198486447005
location,CA,1695,1060.7602645648967,-1661.234375,-43453.7609375,49454.1578125,291.83389846412916
location,CO,96,-2162.9502766927085,-3819.3515625,-13842.52734375,15880.8515625,-33.70284475937348
location,DE,21,-314.9252232142857,-10700.578125,-34913.625,63888.1953125,-1.0734344566628793
location,FL,96,-2920.5443115234375,-7284.515625,-12986.25390625,12608.1875,-45.50758868791592
location,GA,4,-6381.291015625,-7721.08203125,-7721.08203125,-3969.6671874999993,-4.143022896039604
location,IL,527,-934.3138342030361,324.9921875,-31679.7984375,36405.4046875,-79.91939468024673
location,IN,23,-5145.980638586957,-5309.5078125,-6056.30703125,-4043.46328125,-19.21077011645837
location,KS,3,-3993.0403645833335,-4089.5,-5086.58125,-2860.915625,-1.9443468744927772
location,NC,90,-2152.765017361111,-2460.23046875,-11587.03125,7264.032812500001,-31.447630508440188
location,NJ,118,-115.35639565677967,-4444.77734375,-34289.59609375,29945.814062499998,-2.2093904702970297
location,NY,658,417.5031107522796,-7104.23828125,-29905.38125,40536.77265625002,44.589684608829735
location,OH,212,232.81360554245282,-2996.34765625,-30732.03828125,37698.78906250003,8.011115788832981
location,PA,438,339.9457227454338,-8839.1015625,-30482.10390625,35718.922656250004,24.16754204877455
location,SC,3,-2099.0703125,-4789.84375,-4912.7125,1790.8812500000004,-1.0221085761240059
location,TX,1647,-242.13150804493017,-8146.6015625,-37818.4109375,44253.6015625,-64.72822492290213
location,UT,33,-12943.685724431818,-11442.1328125,-23475.68203125,-5816.337499999998,-69.32991866681544
location,VA,48,-2891.190185546875,-8405.43359375,-12952.1265625,14598.02421875,-22.525098020816426
location,WA,53,-2787.717128537736,-11372.109375,-16018.1328125,12879.5109375,-23.9813354670508
location,international,4,-1261.255859375,-32877.0234375,-35097.7125,57867.81484375002,-0.8188643787534491
sector,Accounting & Legal,114,346.50575657894734,-5061.91796875,-31865.55703125,41165.49687500002,6.411565695503977
sector,Aerospace & Defense,59,2372.325410487288,-2595.8671875,-30203.1203125,46347.56875000002,22.71825989591787
sector,Agriculture & Forestry,5,-14650.225,2839.3359375,-55912.9890625,19702.328125,-11.889486284694042
sector,"Arts, Entertainment & Recreation",17,2390.800091911765,-12570.5546875,-35337.5984375,59470.21562500001,6.596916338662555
sector,Biotech & Pharmaceuticals,326,944.8707822085889,-3493.47265625,-35388.9765625,41735.35546875,49.9964088621977
sector,Business Services,1202,-343.69114626663895,-5822.84765625,-32932.22421875,38800.815625,-67.05352342355137
sector,"Construction, Repair & Maintenance",32,2369.582763671875,72.03125,-37718.896875,38530.97890625,12.30752287575069
sector,Consumer Services,34,-1650.7732077205883,-7351.64453125,-39882.339062499996,39753.03828124999,-9.109931677081642
sector,Education,153,-2981.236391952614,-7229.0703125,-35315.2265625,41893.91406250004,-74.03492419554455
sector,Finance,439,-1596.8067429527334,-7480.25,-36729.5625,40530.409374999996,-113.77993185460963
sector,Government,118,982.7645656779661,-5170.30859375,-35620.93203125,38229.33828124997,18.822629240383055
sector,Health Care,348,-689.7350035919541,-5482.3515625,-35658.50234375,38786.752343750006,-38.959224354812534
sector,Information Technology,1694,597.8154769591205,-4669.703125,-36418.9375,43057.00703125,164.37257230461776
sector,Insurance,160,-623.4792724609375,-3814.234375,-36588.65,36755.86171874999,-16.191638304455445
sector,Manufacturing,127,-112.93753075787401,-6451.8125,-38575.459375,42584.096875,-2.3280419422577503
sector,Media,117,-2092.519097222222,-3548.7890625,-40810.8015625,47700.293750000026,-39.73782411540334
sector,Mining & Metals,2,3331.328125,3331.328125,-10468.671875,17131.328125,1.0814244846615808
sector,Non-Profit,44,-3530.654119318182,-7784.943359375,-28485.9140625,25477.700781250005,-25.214864672942706
sector,"Oil, Gas, Energy & Utilities",47,5380.945478723404,-2942.1328125,-32883.4796875,48882.8015625,41.049251339068334
sector,Real Estate,24,-361.3177083333333,-7422.01171875,-37957.25781249999,38182.5921875,-1.407502840447979
sector,"Restaurants, Bars & Food Services",17,-4467.96231617647,-5009.515625,-32470.142187499998,11725.650000000001,-12.328414117026455
sector,Retail,110,1957.8344815340909,-2469.66796875,-32055.978124999998,43799.48437500001,34.95565540801007
sector,Telecommunications,32,6200.401611328125,696.71875,-37827.36015625,43595.15625,32.2046504727317
