bin_left,bin_right,count,bin_mid
-96648.703125,-89166.73958333333,2,-92907.72135416666
-89166.73958333333,-81684.77604166667,5,-85425.7578125
-81684.77604166667,-74202.8125,15,-77943.79427083334
-74202.8125,-66720.84895833333,21,-70461.83072916666
-66720.84895833333,-59238.885416666664,47,-62979.8671875
-59238.885416666664,-51756.921875,61,-55497.90364583333
-51756.921875,-44274.95833333333,96,-48015.940104166664
-44274.95833333333,-36792.994791666664,320,-40533.9765625
-36792.994791666664,-29311.03125,395,-33052.01302083333
-29311.03125,-21829.06770833333,510,-25570.049479166664
-21829.06770833333,-14347.104166666657,615,-18088.085937499993
-14347.104166666657,-6865.140625,845,-10606.122395833328
-6865.140625,616.8229166666715,596,-3124.1588541666642
616.8229166666715,8098.786458333343,520,4357.804687500007
8098.786458333343,15580.75,392,11839.768229166672
15580.75,23062.71354166667,385,19321.731770833336
23062.71354166667,30544.677083333343,349,26803.695312500007
30544.677083333343,38026.640625,248,34285.65885416667
38026.640625,45508.604166666686,272,41767.62239583334
45508.604166666686,52990.56770833334,153,49249.585937500015
52990.56770833334,60472.53125,93,56731.54947916667
60472.53125,67954.49479166669,36,64213.51302083334
67954.49479166669,75436.45833333334,48,71695.47656250001
75436.45833333334,82918.421875,59,79177.44010416667
82918.421875,90400.38541666669,18,86659.40364583334
90400.38541666669,97882.34895833334,31,94141.36718750001
97882.34895833334,105364.3125,11,101623.33072916667
105364.3125,112846.27604166669,3,109105.29427083334
112846.27604166669,120328.23958333334,6,116587.25781250001
120328.23958333334,127810.203125,9,124069.22135416667
