skill,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
core_programming__basic_prob,-inf,0.24166778386755197,0.08435851331694519,0.16024929026176005,0.2637846104979607,0.23049059302759545,0.30743609153510343,0.3125316893017011,0.2521961536400306,0.38509275626709893,0.20266415879110056,0.20879284347657193,0.16565617939063035,0.24264275302007093,0.13855015851336222,0.27710069836326945,0.20900078538695918,0.20281396634651716,0.3973187140330892,0.20511356206426173,0.17326125080180302,0.21614443318682997,0.18599998847409327,0.11288104921754932,0.32792169435645435,0.23159275881670086,0.20614827956283804
core_programming__intermediate_prob,0.24166778386755197,-inf,0.11473293467044321,0.12302724426242717,0.2778115495084186,0.23301241312963833,0.15780154211045286,0.13405039907006952,0.14097923392580677,0.160095929448185,0.13598302715136754,0.1585268869596417,0.07907970536324022,0.12032145907517582,0.08930265463493925,0.2810710370208454,0.22083173480112783,0.1713686678799826,0.19585001273088287,0.20574511192126302,0.1571094503993406,0.12099628947375557,0.15380832721869797,0.11724685604233549,0.15710939373813806,0.14933612921029144,0.11651707997246785
core_programming__advanced_prob,0.08435851331694519,0.11473293467044321,-inf,0.09220039340309456,0.11020969262287873,0.09663684614994442,0.14033370423648792,0.08313229953517581,0.12913096705824315,0.1355827834123276,0.10246876476541847,0.07446555664890112,0.08806201187563481,0.08799379287623456,0.06601374047635353,0.13568876854208686,0.11877926639504785,0.11970553822885109,0.10967646527235247,0.11260660510522708,0.11144695211286254,0.13291150551331207,0.11450206155616241,0.10147263361927321,0.10801529430003518,0.16247723921920953,0.0953307004700659
data_engineering_pipelines__basic_prob,0.16024929026176005,0.12302724426242717,0.09220039340309456,-inf,0.15119181018213265,0.13160690030417896,0.048791950165865884,0.0515585709264196,0.07095598608452564,0.16289684583580125,0.09501095440333737,0.11229327593699975,0.11968581194161035,0.15546111564242424,0.09886227442508747,0.1627511230624823,0.09891540712112719,0.11829502883256926,0.17286023089670208,0.19671586654613366,0.089625223607629,0.08055740357651128,0.15261514568073378,0.10226025928007725,0.16598615368269296,0.1520225304178299,0.1330713581490199
data_engineering_pipelines__intermediate_prob,0.2637846104979607,0.2778115495084186,0.11020969262287873,0.15119181018213265,-inf,0.2809455454561931,0.2133055029718109,0.17169074138696616,0.15933203442094201,0.24919372666184075,0.14851621078671917,0.1685361106578234,0.12652071852309255,0.21034771992001922,0.14135014624935668,0.33005829354226857,0.2949669873613138,0.13827715955632278,0.330143429779347,0.336830613262173,0.1824560927120032,0.1606908911291062,0.251076868737261,0.1164971717700794,0.1850697281216544,0.29417458425714565,0.13361535082924822
data_engineering_pipelines__advanced_prob,0.23049059302759545,0.23301241312963833,0.09663684614994442,0.13160690030417896,0.2809455454561931,-inf,0.17269000472463472,0.18560533013925817,0.2023484233517799,0.20756121276708264,0.11535568969536895,0.10981013735953656,0.13573000116843872,0.12256427417306119,0.10918149672518847,0.23686876848536617,0.2041254921616945,0.19975284528194345,0.19699574475479348,0.24831225424890585,0.1693583119523776,0.23270324944947393,0.16919008237588135,0.07204941888307362,0.15025260944973762,0.21675534593769533,0.1646921165783835
ml_ai__basic_prob,0.30743609153510343,0.15780154211045286,0.14033370423648792,0.048791950165865884,0.2133055029718109,0.17269000472463472,-inf,0.39207862118132153,0.3564450400937362,0.26598315088984914,0.1966550975304614,0.19950743071967122,0.12692118587770146,0.15279065049942284,0.11133206202758435,0.17914760046359027,0.18470957912714564,0.1937173522711459,0.18881161826222234,0.12100393704961199,0.12082551799698442,0.1582486205216701,0.11679543515856217,0.12568415940723252,0.22921001440528946,0.15971862812928134,0.171220435993363
ml_ai__intermediate_prob,0.3125316893017011,0.13405039907006952,0.08313229953517581,0.0515585709264196,0.17169074138696616,0.18560533013925817,0.39207862118132153,-inf,0.40406147924295505,0.261415080129985,0.19134610002657806,0.17591517596591527,0.1265580144004493,0.15071493972645633,0.09934832155938798,0.18612395111155536,0.17332702077190493,0.20861525881519444,0.18205648346983938,0.15525409980309915,0.12140401633396301,0.12099908304427892,0.12784998280210008,0.10734345113858162,0.24128699173301352,0.1656385926014412,0.2009390592860576
ml_ai__advanced_prob,0.2521961536400306,0.14097923392580677,0.12913096705824315,0.07095598608452564,0.15933203442094201,0.2023484233517799,0.3564450400937362,0.40406147924295505,-inf,0.190210738740362,0.12244201959831319,0.13167476628433825,0.0957168537673475,0.10039178829404685,0.1155338114249392,0.19233033994844778,0.1906339100044754,0.25226360157668015,0.11780378367892286,0.1302422789591598,0.11858428855184176,0.17115582427571657,0.14046886621635427,0.13764073238950597,0.18679840392946784,0.13013813724798273,0.14739312143825306
analytics_stats__basic_prob,0.38509275626709893,0.160095929448185,0.1355827834123276,0.16289684583580125,0.24919372666184075,0.20756121276708264,0.26598315088984914,0.261415080129985,0.190210738740362,-inf,0.22458056579204003,0.14779053432929537,0.3306261049111483,0.24078382759473893,0.17625484186048018,0.16870190117752554,0.20672074089394546,0.15649108719009275,0.3489407984467081,0.20060119678034397,0.16555256795070594,0.20795190295163388,0.17537509655788155,0.12928042029455167,0.4270882258843478,0.371323389053745,0.2666682508379553
analytics_stats__intermediate_prob,0.20266415879110056,0.13598302715136754,0.10246876476541847,0.09501095440333737,0.14851621078671917,0.11535568969536895,0.1966550975304614,0.19134610002657806,0.12244201959831319,0.22458056579204003,-inf,0.17215369101767966,0.15343101393695247,0.19712738919810582,0.1394625362779766,0.13415325930611452,0.1279019112381798,0.09010359222144143,0.19170404496616048,0.10520641101412297,0.11748086767445169,0.10630544112058316,0.11791048361482052,0.14771271496792518,0.21761656488524683,0.17735806151217734,0.11781078684821332
analytics_stats__advanced_prob,0.20879284347657193,0.1585268869596417,0.07446555664890112,0.11229327593699975,0.1685361106578234,0.10981013735953656,0.19950743071967122,0.17591517596591527,0.13167476628433825,0.14779053432929537,0.17215369101767966,-inf,0.12573737459091167,0.17739555859727738,0.10884974988787953,0.1120483473911981,0.09708254311637347,0.11820582827999081,0.19052427466805735,0.10422279031735454,0.07578732358359937,0.09232324385842233,0.11991291137273417,0.09613663675051465,0.16377598726746195,0.1118986932407763,0.1091601098899652
bi_viz__basic_prob,0.16565617939063035,0.07907970536324022,0.08806201187563481,0.11968581194161035,0.12652071852309255,0.13573000116843872,0.12692118587770146,0.1265580144004493,0.0957168537673475,0.3306261049111483,0.15343101393695247,0.12573737459091167,-inf,0.3565393514421872,0.1821929578483942,0.08123446493362427,0.09646629580838632,0.08910409402581944,0.270654638911219,0.1336064722596324,0.08956030336873354,0.20582452830862605,0.1426135199084641,0.1499000775754062,0.3478114206665052,0.3456103108683205,0.2217625359866814
bi_viz__intermediate_prob,0.24264275302007093,0.12032145907517582,0.08799379287623456,0.15546111564242424,0.21034771992001922,0.12256427417306119,0.15279065049942284,0.15071493972645633,0.10039178829404685,0.24078382759473893,0.19712738919810582,0.17739555859727738,0.3565393514421872,-inf,0.21180340929701957,0.17120188089050195,0.0984222239142224,0.08056174087270365,0.40795369899838396,0.2276620147049955,0.14740657547492664,0.10819349872558971,0.18668682807133738,0.12256736347381567,0.2445357983379001,0.24639974557532046,0.1687894445862014
bi_viz__advanced_prob,0.13855015851336222,0.08930265463493925,0.06601374047635353,0.09886227442508747,0.14135014624935668,0.10918149672518847,0.11133206202758435,0.09934832155938798,0.1155338114249392,0.17625484186048018,0.1394625362779766,0.10884974988787953,0.1821929578483942,0.21180340929701957,-inf,0.11002743382208904,0.09443494853795723,0.08357758651764231,0.19423888345921186,0.1511138461728112,0.10061045292435919,0.13707926879468824,0.10581214211796744,0.10488711793712131,0.16560415573597786,0.16984785832257066,0.1256207674116852
cloud__basic_prob,0.27710069836326945,0.2810710370208454,0.13568876854208686,0.1627511230624823,0.33005829354226857,0.23686876848536617,0.17914760046359027,0.18612395111155536,0.19233033994844778,0.16870190117752554,0.13415325930611452,0.1120483473911981,0.08123446493362427,0.17120188089050195,0.11002743382208904,-inf,0.3120225199281112,0.26528680157372536,0.23931522372273267,0.27329124804869787,0.2261694435616087,0.13590215569662698,0.2333948155944239,0.09847301499267319,0.18940075484820826,0.18968012227635703,0.17666850114573057
