mean_residual,median_residual,count,size_weighted_mean
597.8154769591205,-4669.703125,1694,164.37257230461776
944.8707822085889,-3493.47265625,326,49.9964088621977
5380.945478723404,-2942.1328125,47,41.049251339068334
1957.8344815340909,-2469.66796875,110,34.95565540801007
6200.401611328125,696.71875,32,32.2046504727317
2372.325410487288,-2595.8671875,59,22.71825989591787
982.7645656779661,-5170.30859375,118,18.822629240383055
2203.4768880208335,-2398.796875,36,12.875372174768708
2369.582763671875,72.03125,32,12.30752287575069
2390.800091911765,-12570.5546875,17,6.596916338662555
346.50575657894734,-5061.91796875,114,6.411565695503977
3331.328125,3331.328125,2,1.0814244846615808
-361.3177083333333,-7422.01171875,24,-1.407502840447979
-112.93753075787401,-6451.8125,127,-2.3280419422577503
-10352.278125,-11894.59375,5,-8.401459280149327
-1650.7732077205883,-7351.64453125,34,-9.109931677081642
-14650.225,2839.3359375,5,-11.889486284694042
-4467.96231617647,-5009.515625,17,-12.328414117026455
-623.4792724609375,-3814.234375,160,-16.191638304455445
-3530.654119318182,-7784.943359375,44,-25.214864672942706
-689.7350035919541,-5482.3515625,348,-38.959224354812534
-2092.519097222222,-3548.7890625,117,-39.73782411540334
-433.5259229004449,-4914.046875,899,-63.259179465589995
-343.69114626663895,-5822.84765625,1202,-67.05352342355137
-2981.236391952614,-7229.0703125,153,-74.03492419554455
-1596.8067429527334,-7480.25,439,-113.77993185460963
