mean_residual,median_residual,count,size_weighted_mean
1912.7109100877192,-5032.8359375,285,88.47956652734945
1169.7936875,-5255.3828125,375,71.20153105218309
199.66023284313727,-3950.5546875,1122,36.36078254341828
5906.349479166666,6470.8046875,15,14.380010093734782
719.7157451923077,-5288.5703125,117,13.667706896201915
-2691.7666015625,-5662.6875,8,-3.4952333732348646
-864.3181002224919,-5069.9609375,309,-43.349179186617434
-123.24344605214498,-4941.9609375,3380,-67.61286279114593
-1867.6042706144958,-6868.87890625,238,-72.14572575981983
-2325.9811573517627,-8029.41015625,312,-117.79031343836228
