mean_residual,median_residual,count,size_weighted_mean
884.6065941494592,2839.3359375,1017,146.02254605583508
8914.508432539682,8810.5234375,63,91.1563108667424
1845.155591475096,-3998.359375,261,78.1667926270086
3139.0823102678573,1520.390625,84,42.79872002312936
2258.9798177083335,9134.57421875,108,39.599061891332575
361.75992111650487,-4223.2109375,515,30.239629828761565
5926.230902777777,5836.984375,27,25.971146627982467
5371.198275862069,5709.75,29,25.282381106963157
36746.494791666664,20891.7421875,3,17.893115464210354
12258.933035714286,10896.8203125,7,13.928344627495537
512.5182911706349,3890.3671875,126,10.481627120191527
14016.392578125,4786.890625,4,9.100076337039441
3423.3564453125,-5845.7890625,8,4.44519583874371
7389.7265625,6512.9375,3,3.598308665395228
-308.22265625,16599.3828125,4,-0.20011209625060866
-2562.3015625,-3594.7890625,5,-2.0794526558188604
-8545.088541666666,-19726.609375,3,-4.160893625223178
-511.3350183823529,1794.515625,51,-4.232768371611751
-2104.765625,-12529.078125,17,-5.8076636300925175
-2795.22705078125,-7248.265625,16,-7.2591515683330625
-2309.964236111111,-7403.5703125,45,-16.871999776821944
-150.06707093865597,-4730.7109375,811,-19.754000086227883
-2373.976955581761,-7426.875,159,-61.26640739125143
-625.6828544376037,-8123.890625,1807,-183.51061807640804
-1957.0772393724696,-8270.12890625,988,-313.84390723908456
