job_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
0,-0.050410893,0.04753989,0.35281724,0.24738672,-0.018104061,-0.028317157,-0.0019433746,-0.35419905,-0.23072223,0.007876532,0.13217947,-0.15307575,0.0704268,0.055123355,-0.1050719,0.0062882784,-0.34171784,0.18260528,0.041034475,-0.003159897,0.03591311,0.24086718,0.330351,-0.2639379,-0.03340579,0.14446229,-0.1735024,-0.1110115,-0.50695086,-0.2058261,0.11422571,-0.036585107,-0.18319932,-0.20529088,0.045492772,0.0071553225,0.006287324,-0.26263383,0.18912639,0.021564974,0.16456439,0.24291852,-0.041058883,-0.11309632,-0.18522514,0.24170426,0.26169354,-0.15072975,0.27538377,0.2893969,0.15420887,0.016309807,0.27215979,0.11292632,0.122435495,-0.19228905,0.3092237,-0.19526668,0.14153825,-0.109488964,-0.20962791,-0.17529678,0.2142674,0.008826498
1,-0.2892582,-0.11300694,0.024459295,0.41814905,-0.045364536,-0.21029748,-0.012425398,0.38297045,-0.112916015,-0.12557125,0.6952594,0.21213314,-0.18523812,-0.08727521,-0.02036506,0.06975947,0.06672187,0.16519679,0.17919792,0.20201507,0.358188,0.2871852,0.014577156,-0.28463396,-0.28787598,-0.055433765,-0.2777643,-0.04594342,-0.22651617,0.21727468,-0.013183222,0.0987684,-0.3004254,-0.38172513,-0.05919146,0.24974398,0.34217134,0.008781408,0.27362254,-0.14114608,0.047052704,0.05765349,0.09746224,-0.115021884,-0.053842187,0.042439964,0.09853639,-0.02547608,-0.061395776,-0.030175155,0.1831153,0.027871672,0.10463139,0.13736038,0.1194595,0.13974886,0.22861663,-0.26152554,0.005693514,0.0017919986,-0.16020857,0.17693251,-0.055535674,0.014158862
2,-0.15541507,-0.21680798,0.25749567,0.28888577,-0.04392677,-0.080179855,0.1042718,0.06354781,-0.1391894,-0.1842976,0.2950179,-0.35612044,-0.03261976,-0.1894929,-0.040481403,0.10671848,-0.16145821,0.21694057,0.014848798,0.13347217,0.15037863,-0.15246855,0.10941653,-0.112449005,-0.1586281,0.19342111,-0.15071884,-0.066485316,-0.15871435,-0.2577751,-0.15970777,-0.02796758,0.05481724,-0.15997748,-0.014610007,0.17786111,0.066096544,-0.017055733,0.025093524,0.040356245,0.009144982,0.021770308,-0.05179889,0.121942915,0.10269783,-0.3916316,-0.010422053,-0.20366473,-0.105736904,-0.13638614,0.20340624,0.18026601,-0.06707395,-0.07773336,0.56273794,0.1091929,0.20271018,-0.27555496,-0.09185657,0.044713262,-0.16230631,0.2023501,-0.2550195,0.11139839
3,-0.027494926,-0.08506372,0.24812074,0.23840606,-0.018129218,-0.061358213,0.15886486,-0.19709094,-0.32554233,0.08374172,0.2667459,-0.07263506,-0.024508623,-0.107281335,-0.08317686,0.028958645,-0.060093086,0.07264655,0.31894773,0.1336844,0.22789757,-0.014444117,0.06653609,-0.2212211,0.10612625,0.056550972,-0.39246228,-0.08346778,-0.42329535,0.061779242,0.09109314,-0.118925184,0.007826453,-0.23189501,0.051669866,0.045179244,0.063790195,0.06498846,0.03181536,0.030024596,0.23679386,0.26524872,0.03650644,-0.024682015,0.09937985,0.02065632,-0.1727398,-0.14979173,0.1697592,0.19959557,0.0016372269,0.037433207,0.19350028,0.12635538,0.24606404,-0.06996726,0.04093029,-0.18061492,0.15641834,0.051397685,-0.15349442,0.1179937,-0.111380756,-0.16543572
4,0.023282392,0.015767545,-0.064247824,-0.0372394,0.07950819,-0.23348941,0.60691047,0.27899903,0.16435495,0.11356029,0.10651813,0.23565726,-0.091694504,-0.07742597,-0.009389425,0.17561884,0.041864056,-0.32662997,-0.081238426,0.27940845,0.2969257,0.1501861,0.10083973,-0.119765915,0.049976163,-0.10754266,-0.11895311,-0.25783247,-0.29233125,-0.3649108,0.30679184,-0.2077724,0.030398287,-0.3663137,0.14003956,0.31518123,-0.19572966,-0.042437136,0.29950792,-0.3713936,0.021515569,0.48130363,-0.3011571,-0.094885334,0.029428484,0.07099051,-0.07523127,-0.43586284,-0.015686385,0.2087882,0.19890167,0.08497162,0.09134222,0.3833933,0.28214517,-0.18748367,0.30635127,-0.13742022,-0.2501536,0.03521354,0.02619397,0.34951285,-0.06374825,-0.05118848
5,-0.22812597,-0.28304455,0.047263216,0.0061752982,0.018079229,-0.17798984,0.06952357,0.1683249,0.03633385,0.021314934,0.5222149,-0.030435368,-0.24050899,0.043658163,-0.26134333,0.07834083,0.1787647,0.09487816,0.14475453,0.2734066,0.27507272,0.40189117,0.16955361,-0.11729742,-0.10256265,-0.097952545,-0.0009514265,-0.08850249,-0.33286586,0.08796403,0.12734365,-0.17270634,-0.28418934,-0.37527472,-0.053608414,0.086058155,-0.054150704,0.15579809,0.26632047,-0.120477766,-0.06527837,0.3188905,-0.21996716,-0.23828423,0.029374082,0.46281415,-0.010617082,-0.13018541,0.29448926,0.09524036,0.31617728,-0.053282913,0.08464148,0.3499292,0.01359982,0.023795899,0.008708974,-0.38702476,-0.057476055,-0.026213095,-0.14566612,-0.14450112,-0.091993734,-0.07053871
6,-0.41219702,-0.052586693,-0.117366776,0.17299889,-0.03882117,-0.12987879,-0.078493044,0.36801377,-0.3730139,0.24300109,0.6115785,0.27396655,-0.3548017,0.060111172,-0.28217253,0.15238485,0.17011783,0.021531818,-0.3405373,0.06978688,0.26815283,0.41798586,0.14628536,-0.15304169,-0.12847723,0.039623484,-0.17798132,-0.13382371,-0.1905279,-0.18854211,-0.0055209314,0.0032337196,-0.30025566,-0.45228153,0.07381425,0.3911477,0.13100909,0.24581511,0.22108078,-0.029441442,-0.04084424,-0.057625126,-0.000870428,-0.12934506,0.050422534,-0.20985359,0.15071815,0.02810455,-0.19809471,0.17421755,0.33459932,0.21152875,0.008205853,0.15097918,0.15388775,0.17792435,0.23020345,-0.09925037,-0.038695272,0.04207294,-0.36629415,0.25032404,0.001287333,0.09265008
7,-0.029236943,0.1473112,0.32330152,0.33726147,0.08558785,-0.17296953,0.086257845,-0.1660461,-0.2546966,-0.033685353,0.13524498,-0.031470634,-0.09322651,-0.19874446,-0.04974978,0.30511695,-0.13416529,0.07030752,0.122221075,0.044649627,0.11016171,0.14495748,-0.0046409057,-0.29495835,-0.2082669,-0.15147199,-0.20101103,0.10839732,-0.0046112537,-0.207657,0.22757934,0.27788717,0.27508152,-0.33895463,0.04695212,0.14297442,0.098827206,-0.2942166,0.11415659,-0.03993415,0.32774162,0.24603368,-0.031098332,0.024574833,-0.0850927,-0.10109472,0.2291023,-0.14288677,0.007915027,-0.058433264,0.024480756,0.051705725,-0.027433174,0.19471906,0.5063763,0.037826803,-0.087641664,-0.35428265,0.03404863,0.086228475,-0.14501676,-0.082423136,0.054639965,-0.012862516
8,0.10190935,-0.33617467,0.091937594,0.13091783,-0.48415968,0.0077456106,0.10016699,0.33606192,0.0886275,0.089641474,0.0136525165,0.32482547,0.010059553,0.033110954,-0.18557538,0.14299896,0.23156212,-0.18782887,-0.20477203,0.028035073,0.14709298,0.07899945,0.24320535,-0.35622168,0.31730586,0.37324655,-0.071513794,0.11345539,-0.17623459,-0.027539223,-0.022729771,-0.15398963,-0.66284746,-0.48791334,-0.0018938427,0.296673,0.40772447,0.01734712,0.3712134,-0.2662388,-0.078172065,-0.010078457,0.061972562,-0.20273046,-0.023820464,-0.35694376,-0.026296103,-0.2234934,0.18783946,-0.066717185,0.3247554,0.44198698,0.1953281,0.27533606,0.16931766,0.002909293,0.25312603,-0.28603727,-0.0863322,0.08850073,-0.16205744,0.10995858,-0.37265563,0.2659754
9,-0.039252866,0.022668462,0.3968375,0.12903585,0.05865598,-0.18484892,0.22345343,0.26137102,-0.04117097,-0.3241457,0.404106,-0.29328734,-0.075231366,-0.044619005,-0.07368396,-0.20256758,-0.044269707,-0.11121222,-0.06069566,0.122520186,0.094856985,0.24638474,0.3952811,0.05564779,0.18201965,0.422561,-0.16845943,-0.08508088,-0.086582296,-0.5004823,0.1754101,-0.30100882,-0.050113067,-0.06011818,0.06879219,-0.067809805,0.034152266,-0.15010813,0.2622227,-0.09019195,-0.03708004,0.16422398,0.15290456,-0.14376569,0.017670888,-0.012865275,-0.1018774,-0.006901389,0.14817981,0.13204283,0.13686353,-0.13822703,0.22665025,0.25855908,0.23246516,-0.19728722,0.3732551,-0.23236482,0.047320448,-0.15449443,-0.19848183,-0.080435805,-0.20959713,0.050839845
