model,pos_frac_train,pos_frac_test,roc_auc_train,roc_auc_test,pr_auc_train,pr_auc_test,brier_test,learning_rate,n_estimators,num_leaves,colsample_bytree,subsample,size_code,sector_code,state_code,ownership_code,seniority_code,title_rich_code,core_programming__basic,core_programming__intermediate,core_programming__advanced,data_engineering_pipelines__basic,data_engineering_pipelines__intermediate,data_engineering_pipelines__advanced,ml_ai__basic,ml_ai__intermediate,ml_ai__advanced,analytics_stats__basic,analytics_stats__intermediate,analytics_stats__advanced,bi_viz__basic,bi_viz__intermediate,bi_viz__advanced,cloud__basic,cloud__intermediate,cloud__advanced,db_storage__basic,db_storage__intermediate,db_storage__advanced,productivity_workflow__basic,productivity_workflow__intermediate,productivity_workflow__advanced,soft_skills__core,soft_skills__leadership,domain_specific__none
core_programming__basic,0.5862418831168831,0.5863746958637469,0.9999975384807606,0.9100954628047623,0.9999982045805078,0.933017081700219,0.1189623310143197,0.025,800,127,0.8,0.8,2116,2039,1991,611,1486,1447,,444.0,0.0,200.0,7378.0,2628.0,3005.0,2164.0,519.0,8784.0,1370.0,178.0,10312.0,8417.0,28.0,3399.0,626.0,150.0,6806.0,5860.0,153.0,2141.0,3271.0,0.0,4992.0,9574.0,8704.0
core_programming__intermediate,0.09699675324675325,0.09732360097323602,1.0,0.9106918238993711,1.0,0.6652274034920101,0.058004647603693796,0.015,800,127,0.8,0.8,1185,1446,1157,352,794,963,1366.0,,0.0,199.0,5735.0,6026.0,4744.0,4359.0,1960.0,5984.0,3002.0,642.0,4888.0,5528.0,0.0,6678.0,4107.0,734.0,6355.0,6387.0,1121.0,2740.0,4994.0,0.0,4328.0,7040.0,5970.0
core_programming__advanced,0.002029220779220779,0.0024330900243309003,1.0,0.9449864498644986,0.9999999999999999,0.6715210355987055,0.0010274191914881057,0.05,400,127,0.8,0.8,96,196,38,17,25,84,1606.0,1452.0,,135.0,1820.0,1699.0,2091.0,1027.0,670.0,1704.0,320.0,61.0,509.0,1627.0,21.0,1586.0,1293.0,141.0,2259.0,1615.0,533.0,1190.0,1402.0,0.0,1245.0,2526.0,2598.0
data_engineering_pipelines__basic,0.018060064935064936,0.017842660178426603,1.0,0.7994519930936116,1.0000000000000002,0.36072430255626736,0.016073294668420335,0.015,400,127,0.8,0.8,673,645,578,177,467,438,3515.0,1221.0,0.0,,3434.0,1669.0,1177.0,843.0,421.0,2742.0,1099.0,41.0,3972.0,3327.0,11.0,3558.0,566.0,489.0,3372.0,4138.0,558.0,1193.0,2861.0,0.0,1823.0,2798.0,2549.0
data_engineering_pipelines__intermediate,0.3859577922077922,0.38605028386050283,0.9999992181326505,0.9204414262402452,0.9999983412970403,0.8852362224711134,0.11504032901575459,0.025,1000,127,0.8,0.8,2343,2275,2247,457,1395,1759,10487.0,1649.0,0.0,423.0,,3088.0,5584.0,5749.0,1914.0,8647.0,2337.0,453.0,9962.0,10396.0,93.0,5795.0,997.0,282.0,8950.0,6003.0,332.0,3226.0,4830.0,0.0,5960.0,9177.0,9190.0
data_engineering_pipelines__advanced,0.19176136363636365,0.1922141119221411,0.9998125631818827,0.889049870367546,0.9990910787748891,0.7640331814802106,0.08919258865316476,0.025,400,127,0.8,0.8,853,966,1030,228,688,883,2955.0,1305.0,0.0,103.0,2499.0,,2330.0,2232.0,725.0,3325.0,759.0,101.0,3481.0,3204.0,26.0,2509.0,1097.0,171.0,3367.0,2933.0,206.0,1701.0,2374.0,0.0,1703.0,3293.0,3353.0
ml_ai__basic,0.20758928571428573,0.20762368207623683,0.9999916141298157,0.9025676496929376,0.9999649627532239,0.7957392066782748,0.0894826465435685,0.015,1000,127,0.8,0.8,2163,2757,2245,514,1543,2018,6143.0,2258.0,0.0,141.0,9044.0,5003.0,,6810.0,1818.0,6578.0,3191.0,502.0,9922.0,8371.0,24.0,5868.0,2231.0,279.0,8950.0,5733.0,368.0,3069.0,4344.0,0.0,4607.0,9820.0,9686.0
ml_ai__intermediate,0.20008116883116883,0.2003244120032441,0.9999993567993513,0.922711483029621,0.9999969142003698,0.8233962160632277,0.07318827970393343,0.015,1000,127,0.8,0.8,1967,2439,1656,478,1542,1894,7516.0,1944.0,0.0,149.0,8360.0,4718.0,7873.0,,1803.0,6802.0,4006.0,708.0,9704.0,7939.0,55.0,5917.0,1834.0,242.0,9168.0,5345.0,297.0,3540.0,4357.0,0.0,4073.0,9824.0,9850.0
ml_ai__advanced,0.0799512987012987,0.07948094079480941,0.999999160320556,0.9416883934190416,0.9999871326988944,0.7714964385977012,0.036469455885069675,0.025,400,127,0.8,0.8,474,664,436,72,254,601,1961.0,1042.0,0.0,136.0,3327.0,2474.0,3474.0,2265.0,,2654.0,1222.0,170.0,2732.0,2227.0,39.0,2781.0,1172.0,510.0,3616.0,2191.0,160.0,1699.0,2044.0,0.0,2133.0,3926.0,3910.0
analytics_stats__basic,0.6801948051948052,0.6804541768045418,0.9999078132003927,0.8697869714368689,0.9999603510739333,0.9243738601984004,0.13082733541599909,0.025,1000,127,0.8,0.8,2813,2918,2720,639,1731,2272,10751.0,2101.0,0.0,220.0,8286.0,4381.0,3104.0,3829.0,999.0,,2027.0,263.0,10102.0,8407.0,17.0,5094.0,1244.0,173.0,10042.0,6755.0,421.0,3053.0,4227.0,0.0,5864.0,11765.0,9774.0
