skill_1,skill_2,similarity
analytics_stats__advanced_prob,bi_viz__intermediate_prob,0.17739555859727738
analytics_stats__advanced_prob,core_programming__basic_prob,0.20879284347657193
analytics_stats__advanced_prob,db_storage__basic_prob,0.19052427466805735
analytics_stats__advanced_prob,ml_ai__basic_prob,0.19950743071967122
analytics_stats__advanced_prob,ml_ai__intermediate_prob,0.17591517596591527
analytics_stats__basic_prob,analytics_stats__intermediate_prob,0.22458056579204003
analytics_stats__basic_prob,bi_viz__advanced_prob,0.17625484186048018
analytics_stats__basic_prob,bi_viz__basic_prob,0.3306261049111483
analytics_stats__basic_prob,core_programming__advanced_prob,0.1355827834123276
analytics_stats__basic_prob,core_programming__basic_prob,0.38509275626709893
analytics_stats__basic_prob,data_engineering_pipelines__basic_prob,0.16289684583580125
analytics_stats__basic_prob,db_storage__basic_prob,0.3489407984467081
analytics_stats__basic_prob,domain_specific__none_prob,0.2666682508379553
analytics_stats__basic_prob,ml_ai__basic_prob,0.26598315088984914
analytics_stats__basic_prob,ml_ai__intermediate_prob,0.261415080129985
analytics_stats__basic_prob,productivity_workflow__basic_prob,0.20795190295163388
analytics_stats__basic_prob,soft_skills__core_prob,0.4270882258843478
analytics_stats__basic_prob,soft_skills__leadership_prob,0.371323389053745
analytics_stats__intermediate_prob,bi_viz__intermediate_prob,0.19712738919810582
analytics_stats__intermediate_prob,core_programming__basic_prob,0.20266415879110056
analytics_stats__intermediate_prob,ml_ai__basic_prob,0.1966550975304614
analytics_stats__intermediate_prob,productivity_workflow__advanced_prob,0.14771271496792518
analytics_stats__intermediate_prob,soft_skills__core_prob,0.21761656488524683
bi_viz__advanced_prob,bi_viz__basic_prob,0.1821929578483942
bi_viz__advanced_prob,bi_viz__intermediate_prob,0.21180340929701957
bi_viz__advanced_prob,db_storage__basic_prob,0.19423888345921186
bi_viz__advanced_prob,soft_skills__leadership_prob,0.16984785832257066
bi_viz__basic_prob,bi_viz__intermediate_prob,0.3565393514421872
bi_viz__basic_prob,db_storage__basic_prob,0.270654638911219
bi_viz__basic_prob,domain_specific__none_prob,0.2217625359866814
bi_viz__basic_prob,productivity_workflow__advanced_prob,0.1499000775754062
bi_viz__basic_prob,soft_skills__core_prob,0.3478114206665052
bi_viz__basic_prob,soft_skills__leadership_prob,0.3456103108683205
bi_viz__intermediate_prob,core_programming__basic_prob,0.24264275302007093
bi_viz__intermediate_prob,db_storage__basic_prob,0.40795369899838396
bi_viz__intermediate_prob,db_storage__intermediate_prob,0.2276620147049955
bi_viz__intermediate_prob,soft_skills__core_prob,0.2445357983379001
bi_viz__intermediate_prob,soft_skills__leadership_prob,0.24639974557532046
cloud__advanced_prob,cloud__basic_prob,0.26528680157372536
cloud__advanced_prob,core_programming__basic_prob,0.20281396634651716
cloud__advanced_prob,data_engineering_pipelines__advanced_prob,0.19975284528194345
cloud__advanced_prob,db_storage__advanced_prob,0.18935675009044436
cloud__advanced_prob,ml_ai__advanced_prob,0.25226360157668015
cloud__advanced_prob,ml_ai__intermediate_prob,0.20861525881519444
cloud__basic_prob,cloud__intermediate_prob,0.3120225199281112
cloud__basic_prob,core_programming__advanced_prob,0.13568876854208686
cloud__basic_prob,core_programming__basic_prob,0.27710069836326945
cloud__basic_prob,core_programming__intermediate_prob,0.2810710370208454
cloud__basic_prob,data_engineering_pipelines__advanced_prob,0.23686876848536617
cloud__basic_prob,data_engineering_pipelines__basic_prob,0.1627511230624823
cloud__basic_prob,data_engineering_pipelines__intermediate_prob,0.33005829354226857
cloud__basic_prob,db_storage__advanced_prob,0.2261694435616087
cloud__basic_prob,db_storage__intermediate_prob,0.27329124804869787
cloud__basic_prob,productivity_workflow__intermediate_prob,0.2333948155944239
cloud__intermediate_prob,core_programming__intermediate_prob,0.22083173480112783
cloud__intermediate_prob,data_engineering_pipelines__intermediate_prob,0.2949669873613138
cloud__intermediate_prob,db_storage__intermediate_prob,0.22337504430578095
cloud__intermediate_prob,productivity_workflow__intermediate_prob,0.24833838808506498
core_programming__advanced_prob,ml_ai__basic_prob,0.14033370423648792
core_programming__advanced_prob,productivity_workflow__basic_prob,0.13291150551331207
core_programming__advanced_prob,soft_skills__leadership_prob,0.16247723921920953
core_programming__basic_prob,core_programming__intermediate_prob,0.24166778386755197
core_programming__basic_prob,db_storage__advanced_prob,0.17326125080180302
core_programming__basic_prob,db_storage__basic_prob,0.3973187140330892
core_programming__basic_prob,domain_specific__none_prob,0.20614827956283804
core_programming__basic_prob,ml_ai__advanced_prob,0.2521961536400306
core_programming__basic_prob,ml_ai__basic_prob,0.30743609153510343
core_programming__basic_prob,ml_ai__intermediate_prob,0.3125316893017011
core_programming__basic_prob,productivity_workflow__basic_prob,0.21614443318682997
core_programming__basic_prob,soft_skills__core_prob,0.32792169435645435
core_programming__intermediate_prob,data_engineering_pipelines__advanced_prob,0.23301241312963833
core_programming__intermediate_prob,data_engineering_pipelines__intermediate_prob,0.2778115495084186
data_engineering_pipelines__advanced_prob,data_engineering_pipelines__intermediate_prob,0.2809455454561931
data_engineering_pipelines__advanced_prob,db_storage__intermediate_prob,0.24831225424890585
data_engineering_pipelines__advanced_prob,ml_ai__advanced_prob,0.2023484233517799
data_engineering_pipelines__advanced_prob,productivity_workflow__basic_prob,0.23270324944947393
data_engineering_pipelines__basic_prob,db_storage__basic_prob,0.17286023089670208
data_engineering_pipelines__basic_prob,db_storage__intermediate_prob,0.19671586654613366
data_engineering_pipelines__basic_prob,soft_skills__core_prob,0.16598615368269296
