Sector,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
Accounting & Legal,-0.21026079613933235,-0.016354404391705962,-0.0021075482595671524,-0.025858835538910212,0.09174661174378851,-0.11125325346060844,-0.033082653500170006,-0.08651729199853106,-0.010191471790304399,-0.08524083527874216,0.031853314678057854,-0.0192026251512863,-0.07805398741694125,-0.028373366481500295,-0.014694858194628894,0.047929071653752126,-0.04179049090387054,-0.017410641346399677,-0.0745785745161397,-0.002313572509962891,0.0006098279284560033,-0.08529665643763429,0.01643601626856961,-0.002726172222072532,-0.08896532025198423,0.0478612201307681,0.09931249933997127
Aerospace & Defense,-0.028647305163224446,-0.0570435590867177,-0.0021072616741873032,-0.029639413247430347,-0.2805583811402913,-0.10554944995524893,0.07755810727344084,0.0740997305370586,0.09507935572936665,-0.04546049668367291,-0.03921413645820304,-0.018100497294925428,-0.08852634344649596,-0.14590341258226286,-0.015403209966512243,-0.1407331024440513,0.007178202094757627,-0.020301795571927447,-0.326771807070381,-0.15206838870324504,-0.02592580362168858,-0.07817367909527287,0.022591760010663015,-0.0025669765523881082,0.10144391562918209,0.11448281565551965,0.04835692870725006
Agriculture & Forestry,-0.014446218046537007,-0.1099402575315581,-0.002107840318279376,-0.02901355074860052,-0.369987855815937,-0.21136533800286078,-0.03693734697543394,-0.09339535709214572,-0.08652890924724839,-0.4287501202108376,-0.09176656533957517,-0.019333089025268382,-0.3841028083113385,-0.32527324398230334,-0.016446251998744565,-0.22652754236449754,-0.10311925678065846,-0.0273193791187664,-0.1684740154913109,-0.07080629039375674,-0.025966400370072217,-0.14696983633892954,-0.18148788896797233,-0.0017275416095139063,-0.16139483093362417,-0.2986907387835579,-0.28658273024981673
"Arts, Entertainment & Recreation",0.08336316848030012,-0.10088292288363078,-0.0021079872937367653,-0.024429687607244083,0.024311970796702165,-0.10960026655165767,0.11958137636503238,0.2727627285356675,0.05647958624711655,0.20507429107534947,0.0794093355541527,0.04510549119095128,0.024902683142589366,0.30499829216891866,-0.01572514714793518,0.09945814833675551,-0.041502961089528154,-0.02713077086534355,0.3260931334605114,0.30530505498375204,-0.02561666721364481,-0.02899111558856929,-0.029817569341499428,0.11485375485383056,0.16693450971851698,0.15551714585761112,-0.119214713615065
Biotech & Pharmaceuticals,-0.1158213546132621,-0.08378016084655254,-0.0021074970377026035,-0.021716546838004967,-0.21941170887933695,-0.007825613067200615,-0.060035625032433704,-0.044952665582981416,-0.0322614704472975,-0.06087117336104364,0.04994814421502303,-0.018742854645958644,0.11183329954611776,-0.2071849142066267,-0.0011318407044911827,-0.09194732240657413,-0.060267014222912495,-0.013408300772630529,-0.3786016507734718,-0.14941999028724462,-0.016669421378042473,0.025961720504249775,-0.08871729957069337,-0.002727819227735614,0.17046617698997035,-0.02343142007710397,0.40007726324730325
Business Services,-0.05931535593222881,-0.028056019449126737,-0.002060560347739204,-0.005525252644156448,-0.04257343673167113,-0.06404625895096555,-0.04710863930421133,-0.05114451175158638,-0.022141423067673124,-0.0325635434115813,-0.02445191875497854,-0.00889304832626239,-0.02343171104529429,0.02527166370632533,-0.003282873283868613,-0.024223044275534733,-0.015559930037841493,-0.007768180253712169,0.019379572083222607,0.019202313978889718,-0.009507186642114158,-0.03347336989352295,-0.010026898592670391,-0.0008745073234982855,-0.06493414775702522,-0.02244216912932484,-0.011185810473698155
"Construction, Repair & Maintenance",-0.17888197128850652,-0.04958124667100029,-0.0021079522765537766,0.02006460890615258,-0.13676396838904897,-0.1168634655850288,-0.11671801133780495,-0.10253633613395885,-0.052705559414660826,-0.06617097085353818,-0.011529198536728541,-0.019494347962868832,0.16208171899096435,0.05300410354343915,-0.01369280919235203,-0.14045603750136293,-0.03690001275404933,-0.026682891311933653,-0.069075793201059,-0.19769314404936422,0.010015619821782382,-0.012686820641827551,-0.11342918306295091,-0.0027239387598795937,0.03993969505411832,-0.11188299913861721,-0.11530497915955171
Consumer Services,0.17292600875313724,-0.010224183487271901,0.02732602131734693,-0.027445080470254794,-0.0416263132291938,-0.05971397043681603,-0.08482245463058827,0.013013567723593245,-0.016695938214162098,0.0832265947831804,0.08714476927356452,-0.018184600251229154,0.05669020635100691,0.16537091333660486,-0.011341272945652337,-0.032493896313227466,-0.06231550007890164,0.029608845663769055,0.16457107559583506,0.18604967160530744,0.042485403214495926,0.22524376101284896,-0.05567455690643511,-0.0027732813437711433,-0.03349847483477797,0.0291710051047136,-0.11801749814939666
Education,0.01913066791695217,-0.05463188360960165,-0.0021030333824869213,0.006457751094380036,-0.1946902870458044,-0.11532834378166079,0.014498373106195866,-0.023723192149155803,-0.054276761256285916,-0.003371983558931979,-0.07653961488818588,-0.0017838442597265178,0.06993183643615991,-0.10743885185193039,-0.012158243523002456,-0.07485554020720853,-0.021004844497880273,0.025163319690611773,-0.24789610237456255,-0.09147408828267317,-0.00546873300301284,-0.029275715676486083,0.040181910216659206,-0.002730282849639509,0.11882564974938126,-0.025204775394220724,0.05676457899025428
Finance,0.09474713624289166,0.009986466738133887,0.0024760304399804676,-0.010295757274848348,0.03923218423991243,-0.009992005583361191,0.044468993471782875,-0.04017351462991531,-0.01454069347187581,0.07508046495972964,0.06149808398593107,0.06058774065108245,-0.04390117304408442,0.0350565748497883,-0.01354426252835765,0.018928432241331034,0.02094086336649606,-0.0008509425718500017,0.04240965884157555,-0.007027989233217735,-0.0006385417078873454,-0.012274081360734379,0.0262797934499025,-0.0027131876885789752,0.0995905481449968,0.13204932796654323,0.05514359812232372
Government,-0.05013872179107426,-0.06187776614489865,-0.0021060682854217375,0.007364571589382349,-0.3268462961140428,-0.026515077065315723,0.28926204450781434,0.035618515080376334,0.04494763471158472,0.16375715264525426,-0.07728702479402177,-0.01921511307135665,0.1859333588727301,-0.17435637023609227,0.012472691373742534,-0.17350134352460583,-0.09164464055259797,-0.01677059445598505,-0.07402004351833541,-0.051596836181536126,0.008061158056530147,0.13582314657683195,-0.08416561249294413,0.0057131423623099625,0.057154604356235095,0.2172278597207573,-0.01567735464719988
Health Care,-0.11048766565458207,-0.06936972242958628,-0.002065297651095372,0.007760889409240655,-0.15027326261687707,-0.10192195773306129,-0.06262709121284601,0.0026547950468468196,-0.047743775730785316,0.014931401673284661,-0.017938915136855,-0.005807177326428329,0.29441576429924976,0.0957777668044908,0.0011170487647680326,-0.11596695369116093,-0.06491314348199098,-0.021151084346989122,-0.02348722208255849,-0.06432976352832723,-0.004730767661693395,-0.01333621020522996,-0.0021016754238873114,0.010280446342334939,0.15986926004543833,0.08946261627346408,-0.1051018622511456
Information Technology,0.07727375082094912,0.06774513854257252,0.0017643375943937607,0.013783094481849015,0.13161379829599656,0.10660971584832588,0.03244195811202502,0.0377201339764619,0.03933305779757354,-0.0101574108697281,-0.008127937296569382,0.005252266150160199,-0.09544519140649,-0.013926134980040639,0.001378011246346917,0.052215558415775604,0.045120210402020605,0.011399252407079459,0.0656176320802827,0.05123685781802295,0.005769871434885977,0.032382932867014935,0.028790944654278366,-0.002573435786346554,-0.09516831555943994,-0.046749291713151564,-0.03479196202622781
Insurance,0.05681127178073153,-0.036936194912515305,-0.002107934971033305,-0.02935127167761524,0.0712523319151076,-0.11204350187547632,0.017082858707258675,0.1461097695719073,0.028041668992897797,0.19342876423787003,0.04389510206129005,-0.018760283850971,0.07531675509733526,0.060377701709369624,-0.01271729056678824,0.04625202518472246,-0.0012402356348975851,-0.010411240434325977,0.08930226944803576,-0.02044743345362482,-0.007101805738797696,-0.08262896983214771,-0.03976185722745165,0.009832026290122262,0.06086174787423204,0.20746690479623653,-0.13588114421739036
