seniority_combined,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
assistant,-0.13516492205419567,0.034066077593235655,-0.002097747595386034,-0.024574203044624772,-0.12574400922982987,-0.035263493612074176,-0.07207974694697017,-0.04725178630122753,0.039676596255298846,0.1469233729400331,-0.02265524039718045,-0.01900649908970305,0.14490143250295517,-0.10660723127929353,-0.013976971936413018,-0.2294614447571243,-0.08164857460745072,-0.025281749151517343,-0.4187317117917435,-0.19259221881684752,-0.02591601368853011,-0.14494972277554466,0.02086780015955944,-0.002764051843324534,0.16641855862445443,-0.3724086856276782,-0.12660077701585415
executive,-0.07085492481433353,0.028500413770505106,-0.0021063051485709938,-0.022880926426064492,-0.029341605119911962,-0.012581312616185447,-0.0432594478191794,0.030462516051021904,0.003519206014554771,0.019827810021212033,0.04235838124322697,-0.004478795369803874,0.09646714469130907,0.09355300252859028,0.007303379038795549,0.008591424709522455,-0.016992785720845394,0.00584624425795207,0.02105185715085711,0.02919391024702428,-0.004223808173065658,-0.06916095031865993,-0.023304749811229764,-0.002138186898174147,0.03651299253771645,0.16862102756232977,0.12089643869174571
junior,-0.04858165396201697,-0.06818695974933658,-0.0021060663632728512,-0.009021162056164163,-0.03139199980375773,0.06269068641993233,-0.07675346850602494,-0.06308422575050499,-0.06639704516233862,0.062195799871658575,-0.03215697089128909,-0.018105884485167624,0.10735790486498453,-0.15056947269752158,-0.002974854530245789,-0.07222515807137694,-0.022851416837583446,-0.026178724948059864,-0.03718548553111167,-0.13211441538187668,-0.02241253427921875,0.1503326938472985,-0.05770044033003499,0.0006299012229996322,-0.16991275341888712,-0.0027088782015167734,-0.11163915704228167
lead,-0.045230278383181166,0.007930635972528854,-0.0021059542892902816,0.003359951923869807,0.09765238399288778,-0.010995257563962774,-0.008852832682371192,0.010923883441078613,0.010235311921436438,-0.01877390920407751,-0.03995149826211468,0.01817061322823216,-0.03123934150843677,0.06107961506071441,-0.0022848495545798944,0.08275943171900466,-0.0006778447964319728,0.0013398147942704358,0.045645549659536266,0.006723058497542234,0.034710399343444144,-0.027264486986990827,0.035788394881749536,-0.0027434924736887702,0.04722994247037127,0.11122426728802692,0.03896541044779167
manager,-0.05464346723501978,-0.03501097662658749,-0.0021033492134543193,0.012470322085324531,-0.06570011785259922,-0.08371418809900821,-0.03320258483476865,-0.024463855708453025,-0.03966233265590047,0.07366199094635806,0.056305559543516126,0.02813334670591611,0.13109344964079483,0.04980035260757232,-0.00510180586810613,-0.024079727154791758,-0.030770447336781415,-0.0116812941822587,0.06267528208244888,-0.051965576908147126,-0.001635716884661631,-0.03474779616535777,0.011287767438935281,0.00013691268902925454,0.0827108594712812,0.1545938055204229,0.02531611603463907
mid,-0.13742260347023244,-0.05889708407413838,-0.0021032303441958235,-0.009219869157165116,-0.07745372051042848,-0.10024271196590992,-0.02171429448354059,-0.042278232505221475,-0.054029952187059464,-0.05724336096901861,-0.02491951920210747,-0.0010622657662735235,0.1083965910628163,-0.016740578386202576,-0.003617244670078547,-0.11000526864033719,-0.020840727129052425,-0.01274470974064043,-0.09728834391583008,-0.06565857319705559,-0.004097957913856538,-0.033899628900205064,-0.026150316717224092,0.010482163814744637,0.07739441018878757,-0.02063097171173478,0.12574234575606608
principal,0.04600960927044906,-0.04325327691254373,-0.0021039083301420416,-0.0020729350133213906,-0.17533682903104253,0.07873487559171952,0.12635997716812905,0.05580545866019326,0.08434622833388891,-0.002912163748021279,0.0038007774771959546,-0.010980189664521862,-0.07374641177752356,-0.15607595003825298,-0.00899599452016306,-0.03051001626775879,-0.018576142184138486,0.005834475881758935,-0.21202972280504395,-0.1270592207210223,-0.01427169683350374,0.07188992174285141,-0.02139938347408471,-0.0023729568216523706,0.15972597002087408,0.09867256674535785,0.11336953303279668
senior,0.07430563680639102,0.027551120801967477,0.000653405183379174,-0.01312900960737751,0.04922509320259366,0.017389771977835672,0.026160521272075327,0.024143613864095553,0.0002397546834240344,0.015236711072940001,0.01057212024635093,0.0041985250274870906,0.002056308839115506,0.08124946003354794,0.0017740692080763405,0.03554334607044804,0.012839648584348107,0.0023099279377460646,0.048761175945511215,0.022883550377581774,0.005123072810771272,-0.011773408677378971,0.009530646219436556,-0.0006459867100419158,0.04498523638900642,0.047938287235698374,0.006195634228452818
supervisor,-0.2652426300671459,0.009041064488001585,-0.0021078920833472667,-0.023729894230016958,-0.369693486721246,-0.19343060716717428,-0.10199224756693068,-0.0905679400862579,-0.056774224953374065,0.017206513991233963,-0.07948802819634547,-0.01943308908404684,0.23725722120455528,-0.08036690392826418,-0.01500360646887397,-0.21755628220059894,-0.10001098465213948,-0.023435191287542102,-0.41685376984345696,-0.2517195472866692,-0.0259856233810094,0.10418076684300484,-0.17437312998417331,-0.0024442950012509004,0.2077774320673924,0.07492643652840258,0.16082128139244012
unknown,-0.0005067189847993703,0.006943001615447544,0.0008160999020755109,0.00528147672902049,0.007606024997917404,0.00020303951008898702,-0.004172967428327845,-0.0028347694848089577,0.006042984614066008,-0.014358064480568089,-0.0028790206062061785,-0.003218839958480383,-0.02823929835117578,-0.012417368679297491,0.0013185785289536421,0.0015282935265563402,0.005544140278088666,0.003193969841989608,0.002964485754291868,0.02552650616223323,-0.0008088574657615644,-0.004504961842497074,0.0024109020564819783,-5.402794849616692e-05,-0.03415490228714413,-0.05421183894360304,-0.02053946067325929
